 Pincode,State Code,Dispatch Center,Prepaid,Reverse Pickup,REPL,COD,Cash,fm_serviceble
122104,,Nuh_HodelRd_DPP (Haryana),Y,Y,N,Y,N,False
122108,,Nuh_HodelRd_DPP (Haryana),Y,Y,N,Y,N,False
123024,,Loharu_HsptlRd_D (Haryana),Y,Y,N,Y,N,True
123027,,Mahendragarh_Sainipura_DPP (Haryana),Y,Y,N,Y,N,False
123029,,Mahendragarh_Sainipura_DPP (Haryana),Y,Y,N,Y,N,False
123034,,Mahendragarh_Sainipura_DPP (Haryana),Y,Y,N,Y,N,False
123301,,Mahendragarh_Zainabad_DPP (Haryana),Y,Y,N,Y,N,False
123302,,Mahendragarh_Zainabad_DPP (Haryana),Y,Y,N,Y,N,False
123303,,Mahendragarh_Zainabad_DPP (Haryana),Y,Y,N,Y,N,False
123411,,Mahendragarh_Zainabad_DPP (Haryana),Y,Y,N,Y,N,False
124022,,Meham_GModDPP_D (Haryana),Y,Y,Y,Y,Y,False
124106,,ChrkhiDdri_PuranDPP_D (Haryana),Y,Y,N,Y,N,True
124111,,Meham_GModDPP_D (Haryana),Y,Y,N,Y,N,True
124112,,Meham_GModDPP_D (Haryana),Y,Y,N,Y,N,True
124127,,Meham_GModDPP_D (Haryana),Y,Y,N,Y,N,True
124505,,Bahadurgarh_Nehrupark_D (Haryana),Y,Y,N,Y,N,True
124513,,Meham_GModDPP_D (Haryana),Y,Y,N,Y,N,True
124514,,Meham_GModDPP_D (Haryana),Y,Y,Y,Y,Y,False
125033,,Hansi_HanumanColny_DPP (Haryana),Y,Y,N,Y,N,False
125042,,Meham_GModDPP_D (Haryana),Y,Y,N,Y,N,True
125047,,Hisar_Dabra_H (Haryana),Y,Y,Y,Y,Y,True
125049,,Hansi_HanumanColny_DPP (Haryana),Y,Y,Y,Y,Y,False
125050,,Fatehabad_SirsaRd_D (Haryana),Y,Y,N,Y,N,True
125051,,Ratia_SchdvDPP_D (Haryana),Y,Y,N,Y,N,True
125052,,Hisar_Dabra_H (Haryana),Y,Y,Y,Y,Y,True
125075,,Ellenabad_BankDPP_D (Haryana),Y,Y,N,Y,N,True
125077,,Kalanwali_MidTowanMkt_DPP (Haryana),Y,Y,Y,Y,Y,False
125078,,Kalanwali_MidTowanMkt_DPP (Haryana),Y,Y,Y,Y,Y,False
125101,,Sangaria_TibbiBusStand_D (Rajasthan),Y,Y,N,Y,N,True
125102,,Ellenabad_BankDPP_D (Haryana),Y,Y,N,Y,N,True
125103,,Kalanwali_MidTowanMkt_DPP (Haryana),Y,Y,Y,Y,Y,False
125104,,Sirsa_AnprnDPP_D (Haryana),Y,Y,N,Y,N,True
125106,,Ratia_SchdvDPP_D (Haryana),Y,Y,N,Y,N,True
125111,,Bhuna_JakhalRd_D (Haryana),Y,Y,Y,Y,Y,True
125112,,Barwala_TohanaRoad_D (Haryana),Y,Y,Y,Y,Y,True
125113,,Bhuna_JakhalRd_D (Haryana),Y,Y,N,Y,N,True
125120,,Bhuna_JakhalRd_D (Haryana),Y,Y,Y,Y,Y,True
125201,,Kalanwali_MidTowanMkt_DPP (Haryana),Y,N,N,Y,Y,False
126101,,Meham_GModDPP_D (Haryana),Y,Y,N,Y,N,True
126112,,Safidon_GoshalaRd_DPP (Haryana),Y,Y,N,Y,N,True
126116,,Narwana_Shivmndr_DPP (Haryana),Y,Y,N,Y,N,True
126152,,Narwana_Shivmndr_DPP (Haryana),Y,Y,N,Y,N,True
127026,,ChrkhiDdri_PuranDPP_D (Haryana),Y,Y,N,Y,N,True
127027,,Meham_GModDPP_D (Haryana),Y,Y,N,Y,N,True
127028,,Bahal_Patwan_DPP (Haryana),Y,Y,N,Y,N,False
127029,,Bahal_Patwan_DPP (Haryana),Y,Y,N,Y,N,False
127030,,Loharu_HsptlRd_D (Haryana),Y,Y,N,Y,N,True
127035,,Hansi_HanumanColny_DPP (Haryana),Y,Y,Y,Y,Y,False
127040,,Siwani_BusStand_DPP (Haryana),Y,Y,N,Y,N,False
127041,,Meham_GModDPP_D (Haryana),Y,Y,N,Y,N,False
127042,,ChrkhiDdri_PuranDPP_D (Haryana),Y,Y,N,Y,N,True
127043,,Siwani_BusStand_DPP (Haryana),Y,Y,N,Y,N,False
127045,,Siwani_BusStand_DPP (Haryana),Y,Y,N,Y,N,False
127046,,Siwani_BusStand_DPP (Haryana),Y,Y,N,Y,N,False
127201,,Loharu_HsptlRd_D (Haryana),Y,Y,N,Y,N,True
127306,,ChrkhiDdri_PuranDPP_D (Haryana),Y,Y,N,Y,N,True
127307,,ChrkhiDdri_PuranDPP_D (Haryana),Y,Y,N,Y,N,True
127308,,Loharu_HsptlRd_D (Haryana),Y,Y,N,Y,N,True
131301,,Gohana_Busstand_DPP (Haryana),Y,N,N,Y,Y,False
131302,,Gohana_Busstand_DPP (Haryana),Y,Y,N,Y,N,False
131304,,Gohana_Busstand_DPP (Haryana),Y,Y,N,Y,N,False
131305,,Gohana_Busstand_DPP (Haryana),Y,Y,N,Y,N,False
132039,,Assandh_GeetaColny_DPP (Haryana),Y,Y,N,Y,N,True
132046,,Assandh_GeetaColny_DPP (Haryana),Y,Y,N,Y,N,True
132107,,Safidon_GoshalaRd_DPP (Haryana),Y,Y,N,Y,N,True
132113,,Safidon_GoshalaRd_DPP (Haryana),Y,Y,N,Y,N,True
134201,,Chandigarh_Rajpura_L (Punjab),Y,Y,Y,Y,Y,True
134202,,Naraingarh_Ward2DPP_D (Haryana),Y,Y,N,Y,N,True
134203,,Naraingarh_Ward2DPP_D (Haryana),Y,Y,N,Y,N,True
134205,,Naraingarh_Ward2DPP_D (Haryana),Y,Y,N,Y,N,True
136035,,Kaithal_DC (Haryana),Y,Y,Y,Y,Y,True
136044,,Assandh_GeetaColny_DPP (Haryana),Y,Y,N,Y,N,True
136128,,Pehowa_ModelTown_DPP (Haryana),Y,Y,N,Y,N,True
136129,,Pehowa_ModelTown_DPP (Haryana),Y,Y,N,Y,N,True
136130,,Pehowa_ModelTown_DPP (Haryana),Y,Y,N,Y,N,True
136136,,Pehowa_ModelTown_DPP (Haryana),Y,Y,N,Y,N,True
141115,,Machhiwara_MnBzrDPP_D (Punjab),Y,Y,N,Y,N,True
141121,,Machhiwara_MnBzrDPP_D (Punjab),Y,Y,N,Y,N,False
141125,,Machhiwara_MnBzrDPP_D (Punjab),Y,Y,N,Y,N,False
142039,,Bhadaur_BChwkDPP_D (Punjab),Y,Y,N,Y,N,True
142055,,Bhadaur_BChwkDPP_D (Punjab),Y,Y,N,Y,N,True
142056,,Bagha_KaleRd_D (Punjab),Y,Y,N,Y,N,True
142058,,Dharamkot_Moga_D (Punjab),Y,Y,Y,Y,Y,True
143202,,BabaBakala_DauloNagalRd_DPP (Punjab),Y,Y,N,Y,N,False
144036,,Nakodar_KrishanNgr_DPP (Punjab),Y,Y,N,Y,N,True
144039,,Nakodar_KrishanNgr_DPP (Punjab),Y,Y,N,Y,N,True
144040,,Nakodar_ChowkDPP_D (Punjab),Y,Y,Y,Y,Y,False
144041,,Nakodar_ChowkDPP_D (Punjab),Y,Y,N,Y,N,True
144042,,Nakodar_ChowkDPP_D (Punjab),Y,Y,N,Y,N,True
144043,,Nakodar_ChowkDPP_D (Punjab),Y,Y,N,Y,N,True
144044,,Nakodar_KrishanNgr_DPP (Punjab),Y,Y,N,Y,N,True
144203,,Dasuya_AdrshNgr_D (Punjab),Y,Y,Y,Y,Y,True
144630,,Nakodar_ChowkDPP_D (Punjab),Y,Y,N,Y,N,True
144701,,Nakodar_ChowkDPP_D (Punjab),Y,Y,N,Y,N,True
144702,,Nakodar_ChowkDPP_D (Punjab),Y,Y,N,Y,N,True
144703,,Dharamkot_Moga_D (Punjab),Y,Y,Y,Y,Y,True
148017,,Dhuri_JantaNagar_DPP (Punjab),Y,Y,N,Y,N,False
148024,,Dhuri_JantaNagar_DPP (Punjab),Y,Y,N,Y,N,False
148025,,Dhuri_JantaNagar_DPP (Punjab),Y,Y,N,Y,N,False
148027,,Salemgarh_Akalgrh_DPP (Punjab),Y,Y,N,Y,N,True
148034,,Dhuri_JantaNagar_DPP (Punjab),Y,Y,N,Y,N,False
148100,,Bhadaur_BChwkDPP_D (Punjab),Y,Y,N,Y,N,True
148102,,Bhadaur_BChwkDPP_D (Punjab),Y,Y,N,Y,N,True
151108,,Bhadaur_BChwkDPP_D (Punjab),Y,Y,N,Y,N,True
151211,,Sirsa_AnprnDPP_D (Haryana),Y,Y,N,Y,N,True
151501,,Jhunir_BhaRDDPP_D (Punjab),Y,Y,N,Y,N,True
151503,,Jhunir_BhaRDDPP_D (Punjab),Y,Y,N,Y,N,True
151504,,Jhunir_BhaRDDPP_D (Punjab),Y,Y,N,Y,N,True
151506,,Jhunir_BhaRDDPP_D (Punjab),Y,Y,N,Y,N,True
152021,,Zira_FriendsEncl_D (Punjab),Y,Y,N,Y,N,True
171208,,ChirgaonHP_Sundha_D (Himachal Pradesh),Y,Y,Y,Y,Y,True
171210,,Nerwa_Chopal_D (Himachal Pradesh),Y,Y,Y,Y,Y,True
171211,,Chopal_HDFC_D (Himachal Pradesh),Y,Y,Y,Y,Y,True
171214,,ChirgaonHP_Sundha_D (Himachal Pradesh),Y,Y,Y,Y,Y,True
172026,,Anni_Kanda_D (Himachal Pradesh),Y,Y,Y,Y,Y,True
172034,,Jeori_AadvikEng_DPP (Himachal Pradesh),Y,Y,N,Y,N,True
172101,,Jeori_AadvikEng_DPP (Himachal Pradesh),Y,Y,N,Y,N,True
172102,,Jeori_AadvikEng_DPP (Himachal Pradesh),Y,Y,N,Y,N,True
172107,,ReckongPeo_Kalpa_D (Himachal Pradesh),Y,Y,Y,Y,Y,True
173101,,Rajgarh_mdr3_D (Himachal Pradesh),Y,Y,Y,Y,Y,True
174002,,NainaDevi_Swahan_DPP (Himachal Pradesh),Y,Y,N,Y,N,False
174011,,NainaDevi_Swahan_DPP (Himachal Pradesh),Y,Y,N,Y,N,False
174030,,Dulchehra_Rapar_DPP (Himachal Pradesh),Y,Y,N,Y,N,True
174310,,NainaDevi_Swahan_DPP (Himachal Pradesh),Y,Y,N,Y,N,False
174311,,Bhota_BpassDPP_D (Himachal Pradesh),Y,Y,N,Y,N,True
174405,,Salouni_Khangalta_DPP (Himachal Pradesh),Y,Y,N,Y,N,False
174505,,Salouni_Khangalta_DPP (Himachal Pradesh),Y,Y,N,Y,N,False
175024,,Sarkaghat_Darpa_DPP (Himachal Pradesh),Y,Y,N,Y,N,True
175025,,Sarkaghat_Darpa_DPP (Himachal Pradesh),Y,Y,N,Y,N,True
175042,,Sarkaghat_Darpa_DPP (Himachal Pradesh),Y,Y,N,Y,N,True
175105,,Jari_Jari_DPP (Himachal Pradesh),Y,Y,N,Y,N,False
176021,,Jawali_BhaneiLubh_DPP (Himachal Pradesh),Y,Y,N,Y,N,True
176022,,Rehan_Bharal_DPP (Himachal Pradesh),Y,Y,N,Y,N,False
176030,,Khundian_Koka_DPP (Himachal Pradesh),Y,Y,N,Y,N,False
176039,,Dulchehra_Rapar_DPP (Himachal Pradesh),Y,Y,N,Y,N,True
176040,,Bhota_BpassDPP_D (Himachal Pradesh),Y,Y,N,Y,N,True
176041,,Bhota_BpassDPP_D (Himachal Pradesh),Y,Y,N,Y,N,True
176042,,Bhota_BpassDPP_D (Himachal Pradesh),Y,Y,N,Y,N,True
176049,,Bhota_BpassDPP_D (Himachal Pradesh),Y,Y,N,Y,N,True
176051,,Rehan_Bharal_DPP (Himachal Pradesh),Y,Y,N,Y,N,False
176053,,Jawali_BhaneiLubh_DPP (Himachal Pradesh),Y,Y,N,Y,N,True
176055,,Khundian_Koka_DPP (Himachal Pradesh),Y,Y,N,Y,N,False
176071,,Kachhera_Timber_DPP (Himachal Pradesh),Y,Y,N,Y,N,False
176076,,Kachhera_Timber_DPP (Himachal Pradesh),Y,Y,N,Y,N,False
176084,,Dheera_Purba_DPP (Himachal Pradesh),Y,Y,N,Y,N,False
176088,,Sandhol_BeasBridge_D (Himachal Pradesh),Y,Y,Y,Y,Y,True
176089,,Sandhol_BeasBridge_D (Himachal Pradesh),Y,Y,Y,Y,Y,True
176090,,Sandhol_BeasBridge_D (Himachal Pradesh),Y,Y,Y,Y,Y,True
176091,,Sandhol_BeasBridge_D (Himachal Pradesh),Y,Y,Y,Y,Y,True
176101,,Dheera_Purba_DPP (Himachal Pradesh),Y,Y,N,Y,N,False
176128,,Kachhera_Timber_DPP (Himachal Pradesh),Y,Y,N,Y,N,False
176200,,Palion_MndiPthankotRd_DPP (Himachal Pradesh),Y,Y,N,Y,N,False
176202,,Palion_MndiPthankotRd_DPP (Himachal Pradesh),Y,Y,N,Y,N,False
176207,,Sihunta_Dramman_DPP (Himachal Pradesh),Y,Y,N,Y,N,False
176211,,Nurpur_Sadwan_DPP (Himachal Pradesh),Y,Y,N,Y,N,False
176302,,Nurpur_Sadwan_DPP (Himachal Pradesh),Y,Y,N,Y,N,True
176313,,Nurpur_Sadwan_DPP (Himachal Pradesh),Y,Y,N,Y,N,True
176501,,GhatiBillan_Ban_DPP (Himachal Pradesh),Y,Y,N,Y,N,False
176502,,GhatiBillan_Ban_DPP (Himachal Pradesh),Y,Y,N,Y,N,False
177026,,Salouni_Khangalta_DPP (Himachal Pradesh),Y,Y,N,Y,N,False
177028,,Sandhol_BeasBridge_D (Himachal Pradesh),Y,Y,Y,Y,Y,True
177043,,Rakkar_Chouli_DPP (Himachal Pradesh),Y,Y,N,Y,N,False
177106,,GhatiBillan_Ban_DPP (Himachal Pradesh),Y,Y,N,Y,N,False
177204,,Chintpurni_Bharwain_D (Himachal Pradesh),Y,Y,N,Y,N,True
177401,,Bhota_BpassDPP_D (Himachal Pradesh),Y,Y,N,Y,N,True
177501,,TauniDevi_Barin_DPP (Himachal Pradesh),Y,Y,N,Y,N,False
181224,,Udhampur_Bharatngr_D (Jammu & Kashmir),Y,Y,N,Y,N,True
182204,,Kishtwar_SenFillingStn_D (Jammu & Kashmir),Y,Y,Y,Y,Y,True
201318,,Noida_Sector63_L (Uttar Pradesh),Y,Y,Y,Y,Y,True
207301,,Jalesar_PublicSchool_DPP (Uttar Pradesh),Y,Y,N,Y,N,False
207302,,Jalesar_PublicSchool_DPP (Uttar Pradesh),Y,Y,N,Y,N,False
209308,,Ghatampur_StatinRD_D (Uttar Pradesh),Y,Y,Y,Y,Y,True
209311,,Akbarpur_NehruNGR_D (Uttar Pradesh),Y,Y,N,Y,N,True
209868,,Bangarmau_HabibNagar_DPP (Uttar Pradesh),Y,Y,N,Y,N,False
